OTU,alpha
Staphylococcus_1,0.0302899580951136
Staphylococcus_2,0.0249915169105686
Staphylococcus_3,0.0238755857041654
Staphylococcus_4,0.0208900286808133
Staphylococcus_5,0.0197109132613795
Bacillales_15,0.022636508153712
Granulicatella_16,0.0270076587981893
Granulicatella_18,0.0135161492691818
Granulicatella_22,0.0476603500725932
Granulicatella_26,0.0250671210283042
Lactobacillales_29,0.0196589625799746
Staphylococcus_35,0.0377130494283043
Bacillales_37,0.0159877509057842
Streptococcus_39,0.0632166907972671
Bacillales_40,0.0404175915018009
Staphylococcus_41,0.0199008308678794
Bacillales_43,0.0251499407813392
Bacillales_44,0.0257392363855154
Gemella_45,0.0609620941116705
Gemella_48,0.0446930613593296
Gemella_50,0.0147325215110862
Bacillales_51,0.0109533368238253
Bacillales_58,0.0361725943343157
Bacillales_60,0.0122175049940182
Gemella_61,0.00488318489832813
Bacillales_63,0.00856297981991543
Planomicrobium_65,0.00977406388199284
Bacillales_70,0.0197969059608599
Gemella_71,0.033156221549968
Gemella_73,0.0195180324069908
Streptococcus_75,0.0135197224438944
Gemella_77,0.0588957781745924
Bacillales_81,0.014682639862278
Bacillales_83,0.0161677671083301
Gemella_84,0.0273145096693137
Gemella_86,0.0459755158039075
Gemella_88,0.0146192140515073
Gemella_93,0.272336663197908
Gemella_94,0.0798645295326793
Gemella_97,0.00975346955671987
Staphylococcus_143,0.032913056397734
Carnobacteriaceae_147,0.0335835317088973
Granulicatella_148,0.0740866283778289
Staphylococcus_157,0.0214010171879343
Staphylococcus_165,0.0589644383464096
Staphylococcus_166,0.0308246553463665
Staphylococcus_168,0.0260132300236346
Streptococcus_169,0.0262675612309546
Lactobacillales_170,0.0249709936179869
Staphylococcus_175,0.0314644795158794
Staphylococcus_180,0.0408876456152677
Lactobacillus_190,0.00850356309750644
Lactobacillus_195,0.0421489119775071
Lactobacillus_197,0.0148561964543144
Lactobacillus_201,0.0481151030544768
Lactobacillus_204,0.0121703786792966
Lactobacillus_206,0.0110209863258364
Lactobacillus_211,0.00730024865170893
Lactobacillus_215,0.00853452646087956
Lactobacillus_217,0.00365050226020356
Lactobacillus_219,0.041315171659943
Lactobacillus_226,0.00365456996763501
Lactobacillus_232,0.0565523519513829
Lactobacillus_239,0.0187505297856013
Lactobacillus_242,0.00487167619868627
Lactobacillus_245,0.0073153365703239
Leuconostoc_258,0.00735339402245162
Lactococcus_262,0.0184118547539214
Streptococcus_266,0.028772808125429
Streptococcus_271,0.00850240810920796
Streptococcus_272,0.00976094138778137
Streptococcus_275,0.0227339877859761
Streptococcus_276,0.168300327976674
Streptococcus_277,0.0110277532174237
Streptococcus_314,0.00860221017279537
Streptococcus_320,0.011002607060588
Streptococcus_322,0.0134671325389169
Streptococcus_323,0.00487794339575923
