phenotype,fold_idx,model,lml,lpd
Var,0,linear,-437.5978489918411,-37.87123001574293
Var,0,string,-400.79205821370005,-37.723706580902395
Var,1,linear,-438.8571977663089,-45.49085276694607
Var,1,string,-400.9973590308365,-44.751972637821105
Var,2,linear,-427.9101024480296,-50.761665439408745
Var,2,string,-391.5731129613425,-48.70365569857109
Var,3,linear,-436.5062291484398,-36.381990769965554
Var,3,string,-402.9992120836228,-32.28958735266259
Var,4,linear,-435.7371066067906,-51.79615843092141
Var,4,string,-399.9630021251139,-49.35135030324923
Var,5,linear,-432.5987229400488,-49.93105854675887
Var,5,string,-400.34052468776156,-44.45076100965115
Var,6,linear,-435.90924367209607,-39.819592644336446
Var,6,string,-400.1464633655799,-37.744350633861195
Var,7,linear,-433.0608003443772,-47.61966800016508
Var,7,string,-396.22521202916005,-46.71777501478132
Var,8,linear,-427.31605019296705,-55.73859132320332
Var,8,string,-393.2626735808027,-51.021729723336016
Var,9,linear,-437.3940608657389,-48.68805725937223
Var,9,string,-401.2397556214669,-47.335981962359845
